State,"18 to 24 years - Population - April 1, 2020","25 to 34 years - Population - April 1, 2020","35 to 44 years - Population - April 1, 2020","45 to 64 years - Population - April 1, 2020","65 to 84 years - Population - April 1, 2020","85 to 99 years - Population - April 1, 2020","100 years and over - Population - April 1, 2020","All ages - Population - April 1, 2020","Adults - Population - April 1, 2020",Electoral College Votes,State-Local Effective Tax Rate Percentage,State-Local Tax Burden per Capita,Taxes Paid to Own State per Capita,Taxes Paid to Other States Per Capita,Air Quality,Public Drinking Water,PublicSchoolOverallRanking,PublicSchoolSchoolQuality,PublicSchoolStudentSafety,PublicSchoolStudentSuccess
Alabama,491490,625360,608965,1306628,793978,89772,973,5024279,8941445,9,9.8,4585.0,3578.0,1007.0,27,3,46,44,33,47
Alaska,68003,112039,98386,180390,88666,6425,94,733391,1287394,3,4.6,2943.0,1527.0,1416.0,12,50,35,39,36,30
Arizona,675623,936487,864601,1726093,1204548,133244,1380,7151502,12693478,11,9.5,5156.0,3997.0,1159.0,50,32,50,50,45,44
Arkansas,281979,379202,371244,750981,473933,54340,594,3011524,5323797,6,10.2,5031.0,3598.0,1433.0,35,26,32,24,40,34
California,3809055,5826832,5326009,9848045,5292586,713955,10623,39538223,70365328,54,13.5,10167.0,8711.0,1457.0,48,11,40,36,49,14
Colorado,533761,895832,799022,1412266,781925,85808,962,5773714,10283290,10,9.7,6699.0,5010.0,1689.0,43,33,8,21,1,10
Connecticut,334929,454315,436812,996106,559338,86415,1312,3605944,6475171,7,15.4,12151.0,9883.0,2268.0,34,37,3,1,16,2
Delaware,91203,122665,116070,259028,175145,19235,197,989948,1773491,3,12.4,7170.0,5580.0,1591.0,30,12,11,9,8,16
Florida,1820715,2639606,2589465,5721420,4031838,529608,6580,21538187,38877419,30,9.1,5406.0,3533.0,1873.0,13,8,42,43,27,42
Georgia,1056938,1454158,1390218,2739671,1431960,145592,1737,10711908,18932182,16,8.9,4862.0,3711.0,1151.0,26,7,31,25,34,38
Hawaii,125554,191122,183939,372839,244612,37193,646,1455271,2611176,4,14.1,8410.0,7082.0,1328.0,1,1,36,34,42,31
Idaho,180703,232010,229940,424064,278706,30665,312,1839106,3215506,4,10.7,5402.0,4140.0,1262.0,38,43,33,45,20,26
Illinois,1186380,1744219,1668405,3306480,1840355,250202,3428,12812508,22811977,19,12.9,8390.0,6866.0,1523.0,44,21,20,14,41,11
Indiana,654729,866825,839364,1712781,993670,123752,1458,6785528,11978107,11,9.3,5030.0,3965.0,1064.0,37,38,23,19,37,20
Iowa,309504,397833,388763,779550,498200,75223,1030,3190369,5640472,6,11.2,6086.0,4812.0,1274.0,18,30,16,18,23,17
Kansas,289573,375641,366965,706747,429593,59978,819,2937880,5167196,6,11.2,6353.0,4971.0,1382.0,39,34,28,30,31,27
Kentucky,412349,569025,560341,1175026,690199,76209,751,4505836,7989736,8,9.6,4669.0,3679.0,990.0,29,6,30,26,30,36
Maine,108233,159897,158786,386140,263740,32902,387,1362359,2472444,4,12.4,6906.0,5712.0,1194.0,2,49,7,11,3,6
Maryland,558037,840975,805867,1624008,874063,110710,1542,6177224,10992426,10,11.3,7680.0,5940.0,1740.0,15,9,12,10,29,5
Massachusetts,709974,999707,861118,1861136,1074497,155054,2237,7029917,12693640,11,11.5,9405.0,7565.0,1840.0,8,5,5,6,13,1
Michigan,950965,1304661,1183758,2669438,1598263,205124,2393,10077331,17991933,15,8.6,4720.0,3595.0,1125.0,41,36,29,37,39,19
Minnesota,505776,756149,742823,1434992,832635,115115,1543,5706494,10095527,10,12.1,7763.0,6316.0,1448.0,9,14,15,22,19,15
