State,"Adults - Population - April 1, 2020",Electoral College Votes,Electoral College Votes Per Adult,Standardized Electoral College Votes Per Adult
Alabama,8941445,9,1.006548717796732e-06,1.0022422710039756
Alaska,1287394,3,2.330288940293337e-06,2.320318965511502
Arizona,12693478,11,8.665867621151586e-07,0.8628791325525034
Arkansas,5323797,6,1.1270151735687892e-06,1.122193319649759
California,70365328,54,7.674234105751629e-07,0.764140044328975
Colorado,10283290,10,9.724514236202616e-07,0.9682908596651183
Connecticut,6475171,7,1.0810525312767803e-06,1.0764273252397505
Delaware,1773491,3,1.6915789254075718e-06,1.6843416258022816
District of Columbia,1264706,3,2.372092802596018e-06,2.3619439729753116
Florida,38877419,30,7.716561636974923e-07,0.7683546879194101
Georgia,18932182,16,8.45121814273706e-07,0.8415060209571799
Hawaii,2611176,4,1.5318768248482676e-06,1.5253227992729275
Idaho,3215506,4,1.243972177318282e-06,1.2386499312127812
Illinois,22811977,19,8.328958073208648e-07,0.8293323221018002
Indiana,11978107,11,9.183421053092947e-07,0.9144130442075936
Iowa,5640472,6,1.063740764957259e-06,1.0591896260758726
Kansas,5167196,6,1.1611713587020892e-06,1.1562033699846936
Kentucky,7989736,8,1.0012846482036452e-06,0.9970007233566379
Louisiana,8228305,8,9.722537023117155e-07,0.9680939842930679
Maine,2472444,4,1.61783239579946e-06,1.610910615453489
Maryland,10992426,10,9.097172907964083e-07,0.9058251303475424
Massachusetts,12693640,11,8.665757024777763e-07,0.8628681202329896
Michigan,17991933,15,8.337069730084033e-07,0.830140017274885
Minnesota,10095527,10,9.90537690602977e-07,0.9862997458464243
Mississippi,5238878,6,1.1452833984681454e-06,1.1403833852537564
Missouri,10930525,10,9.148691394054723e-07,0.9109549371403217
Montana,1934348,4,2.0678802366482144e-06,2.0590329587614464
Nebraska,3437631,5,1.4544900252528558e-06,1.4482670935719562
Nevada,5517940,6,1.0873623127471483e-06,1.0827101107607964
New Hampshire,2498209,4,1.6011470617550413e-06,1.5942966684189697
New Jersey,16570304,14,8.448849218457307e-07,0.8412701420565368
New Mexico,3756511,5,1.3310223236402076e-06,1.325327639701536
New York,36289384,28,7.715755108987246e-07,0.7682743801878809
North Carolina,18594487,16,8.604700952491994e-07,0.8567886354088254
North Dakota,1375187,3,2.181521494894876e-06,2.172188011001932
Ohio,21007010,17,8.092536729406042e-07,0.8057913389047616
Oklahoma,6970051,7,1.0042968121754058e-06,1.0
Oregon,7607908,8,1.0515374265829713e-06,1.0470384988131523
Pennsylvania,23356248,19,8.134868237398404e-07,0.8100063784706713
Rhode Island,1984973,4,2.015140760101019e-06,2.0065191242975526
South Carolina,9132885,9,9.854498332126158e-07,0.9812336564904894
South Dakota,1555922,3,1.928117219243638e-06,1.9198679074437628
Tennessee,12295313,11,8.946498555994467e-07,0.8908221600958256
Texas,51012205,40,7.841260733583267e-07,0.7807712459624684
Utah,5595667,6,1.0722582312349895e-06,1.0676706509825242
Vermont,1167559,3,2.569463299070968e-06,2.5584700338789856
Virginia,15376447,13,8.454488868592335e-07,0.8418316941860124
Washington,13729970,12,8.740004530235681e-07,0.8702611045139106
West Virginia,3226648,4,1.2396765931703738e-06,1.2343727254148225
Wisconsin,10506018,10,9.518354147118347e-07,0.9477630548782341
Wyoming,1018188,3,2.9464106825065705e-06,2.9338046748593722
