State,State-Local Effective Tax Rate Percentage,Rank,State-Local Tax Burden per Capita,Taxes Paid to Own State per Capita,Taxes Paid to Other States Per Capita
Alabama,9.80,20,4585.00,3578.00,1007.00
Alaska,4.60,1,2943.00,1527.00,1416.00
Arizona,9.50,15,5156.00,3997.00,1159.00
Arkansas,10.20,26,5031.00,3598.00,1433.00
California,13.50,46,10167.00,8711.00,1457.00
Colorado,9.70,19,6699.00,5010.00,1689.00
Connecticut,15.40,49,12151.00,9883.00,2268.00
Delaware,12.40,42,7170.00,5580.00,1591.00
District of Columbia,12.00,-39,11654.00,9060.00,2594.00
Florida,9.10,11,5406.00,3533.00,1873.00
Georgia,8.90,8,4862.00,3711.00,1151.00
Hawaii,14.10,48,8410.00,7082.00,1328.00
Idaho,10.70,29,5402.00,4140.00,1262.00
Illinois,12.90,44,8390.00,6866.00,1523.00
Indiana,9.30,14,5030.00,3965.00,1064.00
Iowa,11.20,34,6086.00,4812.00,1274.00
Kansas,11.20,33,6353.00,4971.00,1382.00
Kentucky,9.60,17,4669.00,3679.00,990.00
Louisiana,9.10,12,4762.00,3705.00,1056.00
Maine,12.40,41,6906.00,5712.00,1194.00
Maryland,11.30,35,7680.00,5940.00,1740.00
Massachusetts,11.50,37,9405.00,7565.00,1840.00
Michigan,8.60,5,4720.00,3595.00,1125.00
Minnesota,12.10,39,7763.00,6316.00,1448.00
Mississippi,9.80,21,4220.00,3422.00,798.00
Missouri,9.30,13,4953.00,3666.00,1287.00
Montana,10.50,27,5795.00,4200.00,1595.00
Nebraska,11.50,38,6720.00,5327.00,1393.00
Nevada,9.60,18,5554.00,3932.00,1622.00
New Hampshire,9.60,16,6593.00,4784.00,1809.00
New Jersey,13.20,45,9648.00,7696.00,1952.00
New Mexico,10.20,25,4835.00,3859.00,977.00
New York,15.90,50,12083.00,10380.00,1702.00
North Carolina,9.90,23,5299.00,4156.00,1143.00
North Dakota,8.80,7,5403.00,3800.00,1603.00
Ohio,10.00,24,5530.00,4380.00,1149.00
Oklahoma,9.00,10,4527.00,3380.00,1148.00
Oregon,10.80,31,6572.00,5191.00,1381.00
Pennsylvania,10.60,28,6723.00,5354.00,1369.00
Rhode Island,11.40,36,6948.00,5273.00,1675.00
South Carolina,8.90,9,4596.00,3365.00,1231.00
South Dakota,8.40,4,5196.00,3526.00,1670.00
Tennessee,7.60,3,4036.00,3082.00,954.00
Texas,8.60,6,4994.00,3849.00,1146.00
Utah,12.10,40,6750.00,5346.00,1404.00
Vermont,13.60,47,7958.00,6532.00,1426.00
Virginia,12.50,43,7979.00,6367.00,1612.00
Washington,10.70,30,7803.00,6069.00,1734.00
West Virginia,9.80,22,4479.00,3444.00,1034.00
Wisconsin,10.90,32,6231.00,4911.00,1320.00
Wyoming,7.50,2,4691.00,2647.00,2045.00
